The following miRNA-target pairs, validated by luciferase reporter experiments, were extracted manually from the corresponding reference. A few target genes not documented here may be available in "TarBase" and "miRecords" database system.

miRNA	Validated target	Pub Date	Reference
hsa-miR-1	HDAC4	2008	Downregulation of microRNA-1 (miR-1) in lung cancer: Suppression of tumorigenic property of lung cancer cells and their sensitization to doxorubicin induced apoptosis bymiR-1.
hsa-miR-1	MET	2008	Downregulation of microRNA-1 (miR-1) in lung cancer: Suppression of tumorigenic property of lung cancer cells and their sensitization to doxorubicin induced apoptosis bymiR-1.
hsa-miR-1	HCN4	2008	Down-regulation of miR-1/miR-133 contributes to re-expression of pacemaker channel genes HCN2 and HCN4 in hypertrophic heart.
hsa-miR-1	FoxP1	2008	Methylation mediated silencing of MicroRNA-1 gene and its role in hepatocellular carcinogenesis.
hsa-miR-1	HDAC4	2008	Methylation mediated silencing of MicroRNA-1 gene and its role in hepatocellular carcinogenesis.
hsa-miR-1	MET	2008	Methylation mediated silencing of MicroRNA-1 gene and its role in hepatocellular carcinogenesis.
hsa-miR-1	Cdk9	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-1	fibronectin	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-1	RasGAP	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-1	Rheb	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-1	MEF-2	2008	The microRNA miR-1 regulates a MEF-2-dependent retrograde signal at neuromuscular junctions.
hsa-miR-1	nAChR	2008	The microRNA miR-1 regulates a MEF-2-dependent retrograde signal at neuromuscular junctions.
hsa-miR-1	GAJ1	2007	The muscle-specific microRNA miR-1 regulates cardiac arrhythmogenic potential by targeting GJA1 and KCNJ2.
hsa-miR-1	KCNJ2	2007	The muscle-specific microRNA miR-1 regulates cardiac arrhythmogenic potential by targeting GJA1 and KCNJ2.
hsa-miR-1	HSP60	2007	The muscle-specific microRNAs miR-1 and miR-133 produce opposing effects on apoptosis by targeting HSP60, HSP70 and caspase-9 in cardiomyocytes.
hsa-miR-1	HSP70	2007	The muscle-specific microRNAs miR-1 and miR-133 produce opposing effects on apoptosis by targeting HSP60, HSP70 and caspase-9 in cardiomyocytes.
hsa-miR-1	Hand2	2005	Serum response factor regulates a muscle-specific microRNA that targets Hand2 during cardiogenesis.
hsa-miR-1	Kir2.1	2009	Tanshinone IIA protects against sudden cardiac death induced by lethal arrhythmias via repression of microRNA-1
hsa-miR-100	Plk1	2009	Significance of Plk1 regulation by miR-100 in human nasopharyngeal cancer
hsa-miR-101	EZH2	2009	The tumor suppressor microRNA-101 becomes an epigenetic player by targeting the polycomb group protein EZH2 in cancer
hsa-miR-101	EZH2	2009	Detection of metastatic head and neck squamous cell carcinoma using the relative  expression of tissue-specific mir-205.
hsa-miR-101	Mcl-1	2009	Down-regulation of hsa-miR-10a in chronic myeloid leukemia CD34+ cells increases  USF2-mediated cell growth.
hsa-miR-101	FOS	2009	MicroRNA-101 regulates expression of the v-fos FBJ murine osteosarcoma viral oncogene homolog (FOS) oncogene in human hepatocellular carcinoma.
hsa-miR-101	EZH2	2009	The putative tumor suppressor microRNA-101 modulates the cancer epigenome by repressing the polycomb group protein EZH2.
hsa-miR-101	FOS	2009	The role of microRNA expression pattern in human intrahepatic cholangiocarcinoma.
hsa-miR-101	ATXN1	2008	miR-19, miR-101 and miR-130 co-regulate ATXN1 levels to potentially modulate SCA1 pathogenesis.
hsa-miR-101	MYCN	2007	MicroRNA signatures in human ovarian cancer.
hsa-miR-101	Ezh2	2010	MicroRNA-101 negatively regulates Ezh2 and its expression is modulated by androgen receptor and HIF-1alpha/HIF-1beta.
hsa-miR-101b	ATXN1	2009	Regulation of microRNA expression by HMGA1 proteins
hsa-miR-101b	STC1	2009	Regulation of microRNA expression by HMGA1 proteins
hsa-miR-106a	IL-10 	2009	Posttranscriptional regulation of interleukin-10 expression by hsa-miR-106a
hsa-miR-106a	E2F1	2008	Deregulated expression of miR-106a predicts survival in human colon cancer patients.
hsa-miR-106a	Mylip	2006	Oncogenic potential of the miR-106-363 cluster and its implication in human T-cell leukemia.
hsa-miR-106b	p21	2009	Functional links between clustered microRNAs: suppression of cell-cycle inhibitors by microRNA clusters in gastric cancer.
hsa-miR-106b	APP	2009	MicroRNA regulation of Alzheimer's Amyloid precursor protein expression.
hsa-miR-106b	Itch	2009	MicroRNA-regulated pathways associated with endometriosis.
hsa-miR-106b	E2F1	2009	Role of the miR-106b-25 microRNA cluster in hepatocellular carcinoma.
hsa-miR-106b	E2F1	2008	E2F1-regulated microRNAs impair TGFbeta-dependent cell-cycle arrest and apoptosis in gastric cancer.
hsa-miR-106b	PCAF	2008	MicroRNAs regulate critical genes associated with multiple myeloma pathogenesis.
hsa-miR-107	PLAG1	2009	miRNA deregulation by epigenetic silencing disrupts suppression of the oncogene PLAG1 in chronic lymphocytic leukemia.
hsa-miR-107	BACE1	2008	The expression of microRNA miR-107 decreases early in Alzheimer's disease and may accelerate disease progression through regulation of beta-site amyloid precursor protein-cleaving enzyme 1.
hsa-miR-10b	HOXD10	2007	Tumour invasion and metastasis initiated by microRNA-10b in breast cancer.
hsa-miR-10b	PPAR-alpha	2009	Effect of miRNA-10b in regulating cellular steatosis level by targeting PPAR-alpha expression, a novel mechanism for the pathogenesis of NAFLD
hsa-miR-1-2	Hand2	2007	Dysregulation of cardiogenesis, cardiac conduction, and cell cycle in mice lacking miRNA-1-2.
hsa-miR-1-2	Irx5	2007	Dysregulation of cardiogenesis, cardiac conduction, and cell cycle in mice lacking miRNA-1-2.
hsa-miR-1-2	Kcnd2	2007	Dysregulation of cardiogenesis, cardiac conduction, and cell cycle in mice lacking miRNA-1-2.
hsa-miR-122	Bcl-w	2008	miR-122 targets an anti-apoptotic gene, Bcl-w, in human hepatocellular carcinoma cell lines.
hsa-miR-122	ADAM-10	2009	MicroRNA-122 inhibits tumorigenic properties of hepatocellular carcinoma cells and sensitizes these cells to Sorafenib
hsa-miR-122	SRF	2009	MicroRNA-122 inhibits tumorigenic properties of hepatocellular carcinoma cells and sensitizes these cells to Sorafenib
hsa-miR-122	Igf1R	2009	MicroRNA-122 inhibits tumorigenic properties of hepatocellular carcinoma cells and sensitizes these cells to Sorafenib
hsa-miR-122a	CCNG1	2009	MiR-122/cyclin G1 interaction modulates p53 activity and affects doxorubicin sensitivity of human hepatocarcinoma cells.
hsa-miR-122a	CCNG1	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-miR-122a	AMPK	2006	miR-122 regulation of lipid metabolism revealed by in vivo antisense targeting.
hsa-miR-124	BDNF	2009	microRNAs miR-124, let-7d and miR-181a regulate Cocaine-induced Plasticity
hsa-miR-124	D3R	2009	microRNAs miR-124, let-7d and miR-181a regulate Cocaine-induced Plasticity
hsa-miR-124	Sox9	2009	miR-124 regulates adult neurogenesis in the subventricular zone stem cell niche
hsa-miR-124a	Rb	2009	Epigenetic silencing of the tumor suppressor microRNA Hsa-miR-124a regulates CDK6 expression and confers a poor prognosis in acute lymphoblastic leukemia.
hsa-miR-124a	IkappaBzeta	2009	IkappaBzeta expression is regulated by miR-124a
hsa-miR-124a	CDK6	2008	miR-124 and miR-137 inhibit proliferation of glioblastoma multiforme cells and induce differentiation of brain tumor stem cells.
hsa-miR-124a	CDK6	2008	Regulation of cyclin dependent kinase 6 by microRNA 124 in medulloblastoma.
hsa-miR-124a	CDK6	2007	CpG island hypermethylation of tumor suppressor microRNAs in human cancer.
hsa-miR-124a	CDK6	2007	Genetic unmasking of an epigenetically silenced microRNA in human cancer cells.
hsa-miR-125a	TrkC	2009	Low-Level Expression of MicroRNAs let-7d and miR-205 Are Prognostic Markers of Head and Neck Squamous Cell Carcinoma.
hsa-miR-125a	TrkC	2008	MicroRNA profiling in human medulloblastoma.
hsa-miR-125a	ERBB2	2006	Coordinate suppression of ERBB2 and ERBB3 by enforced expression of micro-RNA miR-125a or miR-125b.
hsa-miR-125a	ERBB3	2006	Coordinate suppression of ERBB2 and ERBB3 by enforced expression of micro-RNA miR-125a or miR-125b.
hsa-miR-125a	p53	2009	MicroRNA 125a and its regulation of the p53 tumor suppressor gene
hsa-miR-125a	HuR	2009	MicroRNA-125a represses cell growth by targeting HuR in breast cancer
hsa-miR-125a	ARID3B	2009	The epidermal growth factor receptor responsive miR-125a represses mesenchymal morphology in ovarian cancer cells
hsa-miR-125b	VDR	2009	MicroRNA regulates human vitamin D receptor
hsa-miR-125b	p53	2009	MicroRNA-125b is a novel negative regulator of p53
hsa-miR-125b	BAK1	2009	MicroRNAs and their potential for translation in prostate cancer.
hsa-miR-125b	CDK6	2009	MicroRNAs and their potential for translation in prostate cancer.
hsa-miR-125b	Gli1	2008	Concerted microRNA control of Hedgehog signalling in cerebellar neuronal progenitor and tumour cells.
hsa-miR-125b	Bak1	2007	An androgen-regulated miRNA suppresses Bak1 expression and induces androgen-independent growth of prostate cancer cells.
hsa-miR-125b	HMGA1	2007	Specific microRNAs are downregulated in human thyroid anaplastic carcinomas.
hsa-miR-125b	HMGA2	2007	Specific microRNAs are downregulated in human thyroid anaplastic carcinomas.
hsa-miR-125b	EIF4EBP1	2007	Widespread deregulation of microRNA expression in human prostate cancer.
hsa-miR-125b	ERBB2	2006	Coordinate suppression of ERBB2 and ERBB3 by enforced expression of micro-RNA miR-125a or miR-125b.
hsa-miR-125b	ERBB3	2006	Coordinate suppression of ERBB2 and ERBB3 by enforced expression of micro-RNA miR-125a or miR-125b.
hsa-miR-125b	BMPR1B	2009	A risk variant in an miR-125b binding site in BMPR1B is associated with breast cancer pathogenesis
hsa-miR-126	IRS-1	2009	Regulation of epidermal growth factor receptor signaling in human cancer cells by microRNA-7.
hsa-miR-126	p85beta	2008	Attribution of vascular phenotypes of the murine Egfl7 locus to the microRNA miR-126
hsa-miR-126	PLK2	2008	Distinct microRNA expression profiles in acute myeloid leukemia with common translocations.
hsa-miR-126	CRK	2008	MicroRNA-126 inhibits invasion in non-small cell lung carcinoma cell lines.
hsa-miR-126	HOXA9	2008	MicroRNA-126 regulates HOXA9 by binding to the homeobox.
hsa-miR-126	SPRED1	2008	miR-126 regulates angiogenic signaling and vascular integrity
hsa-miR-126	p85beta	2008	The noncoding RNA, miR-126, suppresses the growth of neoplastic cells by targeting phosphatidylinositol 3-kinase signaling and is frequently lost in colon cancers.
hsa-miR-126	p85beta	2008	The noncoding RNA, miR-126, suppresses the growth of neoplastic cells by targeting phosphatidylinositol 3-kinase signaling and is frequently lost in colon cancers.
hsa-miR-126	Crk	2009	Regulation of miRNA expression by Src and contact normalization: effects on nonanchored cell growth and migration
hsa-miR-126*	prostein	2007	Ectopic expression of miR-126*, an intronic product of the vascular endothelial EGF-like 7 gene, regulates prostein translation and invasiveness of prostate cancer LNCaP cells.
hsa-miR-127	BLIMP1	2009	B cell differentiation in EBV-positive Burkitt Lymphoma is impaired at post-transcriptional level by miRNA altered expression.
hsa-miR-127	XBP1	2009	B cell differentiation in EBV-positive Burkitt Lymphoma is impaired at post-transcriptional level by miRNA altered expression.
hsa-miR-127	BCL6	2008	Down-regulation of the microRNAs miR-34a, miR-127, and miR-200b in rat liver during hepatocarcinogenesis induced by a methyl-deficient diet.
hsa-miR-127	BCL6	2007	CpG island hypermethylation of tumor suppressor microRNAs in human cancer.
hsa-miR-127	BCL6	2006	Specific activation of microRNA-127 with downregulation of the proto-oncogene BCL6 by chromatin-modifying drugs in human cancer cells.
hsa-miR-128	DCX	2009	MiR-128 up-regulation inhibits Reelin and DCX expression and reduces neuroblastoma cell motility and invasiveness.
hsa-miR-128	Reelin	2009	MiR-128 up-regulation inhibits Reelin and DCX expression and reduces neuroblastoma cell motility and invasiveness.
hsa-miR-128	NTRK3	2009	Allele variants in functional MicroRNA target sites of the neurotrophin-3 receptor gene (NTRK3) as susceptibility factors for anxiety disorders.
hsa-miR-128	E2F3a	2009	MicroRNA-21 down-regulates the expression of tumor suppressor PDCD4 in human glioblastoma cell T98G.
hsa-miR-128	E2F3a	2008	MicroRNA-128 inhibits glioma cells proliferation by targeting transcription factor E2F3a.
hsa-miR-128b	EGFR	2008	EGFR regulation by microRNA in lung cancer: correlation with clinical response and survival to gefitinib and EGFR expression in cell lines.
hsa-miR-128b	MLL	2009	miR-128b is a potent glucocorticoid sensitizer in MLL-AF4 acute lymphocytic leukemia cells and exerts cooperative effects with miR-221
hsa-miR-128b	AF4	2009	miR-128b is a potent glucocorticoid sensitizer in MLL-AF4 acute lymphocytic leukemia cells and exerts cooperative effects with miR-221
hsa-miR-128b	MLL-AF4	2009	miR-128b is a potent glucocorticoid sensitizer in MLL-AF4 acute lymphocytic leukemia cells and exerts cooperative effects with miR-221
hsa-miR-128b	AF4-MLL	2009	miR-128b is a potent glucocorticoid sensitizer in MLL-AF4 acute lymphocytic leukemia cells and exerts cooperative effects with miR-221
hsa-miR-129	GALNT1	2009	Genomic profiling of microRNAs in bladder cancer: miR-129 is associated with poor outcome and promotes cell death in vitro.
hsa-miR-129	SOX4	2009	Genomic profiling of microRNAs in bladder cancer: miR-129 is associated with poor outcome and promotes cell death in vitro.
hsa-miR-130	ATXN1	2008	miR-19, miR-101 and miR-130 co-regulate ATXN1 levels to potentially modulate SCA1 pathogenesis.
hsa-miR-130a	FOG-2	2009	Translational control of FOG-2 expression in cardiomyocytes by microRNA-130a
hsa-miR-130b	TP53INP1	2008	Roles for microRNAs, miR-93 and miR-130b, and tumor protein 53-induced nuclear protein 1 tumor suppressor in cell growth dysregulation by human T-cell lymphotrophic virus 1.
hsa-miR-132	p250GAP	2007	A microRNA-based gene dysregulation pathway in Huntington's disease.
hsa-miR-132	MeCP2	2009	MeCP2 controls an epigenetic pathway that promotes myofibroblast transdifferentiation and fibrosis
hsa-miR-132	p250GAP	2009	An activity-induced microRNA controls dendritic spine formation by regulating Rac1-PAK signaling
hsa-miR-132	SirT1	2009	MicroRNA 132 regulates nutritional stress-induced chemokine production through repression of SirT1
hsa-miR-133	KLF15	2009	MicroRNA-133 regulates the expression of GLUT4 by targeting KLF15 and is involved in metabolic control in cardiac myocytes
hsa-miR-133	KLF15	2009	MicroRNA-133 regulates the expression of GLUT4 by targeting KLF15 and is involved in metabolic control in cardiac myocytes
hsa-miR-133a	KRT7	2009	Identification of novel microRNA targets based on microRNA signatures in bladder cancer.
hsa-miR-133a	UCP2 	2009	In vitro evidence suggests that miR-133a-mediated regulation of uncoupling protein 2 (UCP2) is an indispensable step in myogenic differentiation
hsa-miR-133a	HCN2	2008	Down-regulation of miR-1/miR-133 contributes to re-expression of pacemaker channel genes HCN2 and HCN4 in hypertrophic heart.
hsa-miR-133a	HCN4	2008	Down-regulation of miR-1/miR-133 contributes to re-expression of pacemaker channel genes HCN2 and HCN4 in hypertrophic heart.
hsa-miR-133a	PKM2	2008	Identification of pyruvate kinase type M2 as potential oncoprotein in squamous cell carcinoma of tongue through microRNA profiling.
hsa-miR-133a	ERG	2007	MicroRNA miR-133 represses HERG K+ channel expression contributing to QT prolongation in diabetic hearts.
hsa-miR-133a	Cdc42	2007	MicroRNA-133 controls cardiac hypertrophy.
hsa-miR-133a	Nelf-A/WHSC2	2007	MicroRNA-133 controls cardiac hypertrophy.
hsa-miR-133a	RhoA	2007	MicroRNA-133 controls cardiac hypertrophy.
hsa-miR-133a	Casp9	2007	The muscle-specific microRNAs miR-1 and miR-133 produce opposing effects on apoptosis by targeting HSP60, HSP70 and caspase-9 in cardiomyocytes.
hsa-miR-133b	Mcl-1	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-133b	BCL2L2	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-133b	IGF-IR	2009	MicroRNA regulation of neuron-like differentiation of adipose tissue-derived stem cells
hsa-miR-133b	PKM2	2008	Identification of pyruvate kinase type M2 as potential oncoprotein in squamous cell carcinoma of tongue through microRNA profiling.
hsa-miR-133b	Pitx3	2007	A MicroRNA feedback circuit in midbrain dopamine neurons.
hsa-miR-135a	JAK2	2009	Regulation of JAK2 by miR-135a: prognostic impact in classical Hodgkin lymphoma.
hsa-miR-137	CDK6	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-137	CDK6	2008	miR-124 and miR-137 inhibit proliferation of glioblastoma multiforme cells and induce differentiation of brain tumor stem cells.
hsa-miR-138	hTERT	2008	Downregulation of miR-138 is associated with overexpression of human telomerase reverse transcriptase protein in human anaplastic thyroid carcinoma cell lines.
hsa-miR-140	Cxcl12	2008	Experimental identification of microRNA-140 targets by silencing and overexpressing miR-140
hsa-miR-140	HDAC4	2009	Mechanism of chemoresistance mediated by miR-140 in human osteosarcoma and colon cancer cells
hsa-miR-140*	Dnm1	2008	Nicotine modulates expression of miR-140*, which targets the 3'-untranslated region of dynamin 1 gene ( Dnm1)
hsa-miR-141	Dlx5	2009	MicroRNA-141 and -200a are involved in bone morphogenetic protein-2-induced mouse Pre-osteoblast differentiation by targeting distal-less homeobox 5
hsa-miR-141	ZEB1(deltaEF1)	2008	A reciprocal repression between ZEB1 and members of the miR-200 family promotes EMT and invasion in cancer cells.
hsa-miR-141	SIP1(ZEB2)	2008	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
hsa-miR-141	ZEB1(deltaEF1)	2008	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
hsa-miR-141	SIP1(ZEB2)	2008	The miR-200 family inhibits epithelial-mesenchymal transition and cancer cell migration by direct targeting of E-cadherin transcriptional repressors ZEB1 and ZEB2.
hsa-miR-141	ZEB1(deltaEF1)	2008	The miR-200 family inhibits epithelial-mesenchymal transition and cancer cell migration by direct targeting of E-cadherin transcriptional repressors ZEB1 and ZEB2.
hsa-miR-141	CLOCK	2006	Involvement of human micro-RNA in growth and response to chemotherapy in human cholangiocarcinoma cell lines.
hsa-miR-141	SIP1	2009	MicroRNA-141 Regulates Smad Interacting Protein 1 (SIP1) and Inhibits Migration and Invasion of Colorectal Cancer Cells
hsa-miR-141	ZEB1	2009	Regulation of miR-200 family microRNAs and ZEB transcription factors in ovarian cancer: Evidence supporting a mesothelial-to-epithelial transition
hsa-miR-141	ZEB2	2009	Regulation of miR-200 family microRNAs and ZEB transcription factors in ovarian cancer: Evidence supporting a mesothelial-to-epithelial transition
hsa-miR-142-3p	AC9 	2009	miR-142-3p restricts cAMP production in CD4+CD25- T cells and CD4+CD25+ TREG cells by targeting AC9 mRNA
hsa-miR-143	DNMT3A	2009	MicroRNA-143 targets DNA methyltransferases 3A in colorectal cancer.
hsa-miR-143	Klf4	2009	miR-145 and miR-143 regulate smooth muscle cell fate and plasticity
hsa-miR-143	Elk-1	2009	miR-145 and miR-143 regulate smooth muscle cell fate and plasticity
hsa-miR-143	KRAS	2009	Role of miR-143 targeting KRAS in colorectal tumorigenesis
hsa-miR-143	ERK5	2009	Role of microRNA-143 in Fas-mediated apoptosis in human T-cell leukemia Jurkat cells.
hsa-miR-143	KRAS	2009	Role of miR-143 targeting KRAS in colorectal tumorigenesis.
hsa-miR-143	FNDC3B	2009	Up-regulated microRNA-143 transcribed by nuclear factor kappa B enhances hepatocarcinoma metastasis by repressing fibronectin expression.
hsa-miR-143	ERK5	2007	Downregulation of microRNAs-143 and -145 in B-cell malignancies.
hsa-miR-143	ERK5	2007	Downregulation of microRNAs-143 and -145 in B-cell malignancies.
hsa-miR-143	ERK5	2007	MicroRNA-143 and -145 in colon cancer.
hsa-miR-143	ERK5	2006	MicroRNAs 143 and 145 are possible common onco-microRNAs in human cancers.
hsa-miR-143	ERK5	2004	MicroRNA-143 regulates adipocyte differentiation.
hsa-miR-144	Klfd	2008	Mir-144 selectively regulates embryonic {alpha}-hemoglobin synthesis during primitive erythropoiesis.
hsa-miR-145	Klf4	2009	miR-145 and miR-143 regulate smooth muscle cell fate and plasticity
hsa-miR-145	Elk-1	2009	miR-145 and miR-143 regulate smooth muscle cell fate and plasticity
hsa-miR-145	IGF-IR	2009	Mechanism of growth inhibition by MicroRNA 145: the role of the IGF-I receptor signaling pathway.
hsa-miR-145	IRS-1	2009	Mechanism of growth inhibition by MicroRNA 145: the role of the IGF-I receptor signaling pathway.
hsa-miR-145	KLF4	2009	MicroRNA-145 regulates OCT4, SOX2, and KLF4 and represses pluripotency in human embryonic stem cells
hsa-miR-145	SOX2	2009	MicroRNA-145 regulates OCT4, SOX2, and KLF4 and represses pluripotency in human embryonic stem cells
hsa-miR-145	KLF5	2009	MicroRNA-145, a Novel Smooth Muscle Cell Phenotypic Marker and Modulator, Controls Vascular Neointimal Lesion Formation.
hsa-miR-145	IRS-1	2007	Micro RNA 145 targets the insulin receptor substrate-1 and inhibits the growth of colon cancer cells.
